Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Executive Hotel Cosmopolitan Toronto,"Old Town Toronto, Toronto (Old Town Toronto)",Studio,0.3 miles from downtown,N/A,$191
2025-10-01,booking.com,2,2025-10-10,2025-10-13,The Broadview Hotel,Toronto,King Room,1.7 miles from downtown,N/A,$354
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Midtown Toronto Condo,Toronto,One-Bedroom Apartment,3.9 miles from downtown,N/A,$211
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Deluxe Inn,"Etobicoke, Toronto",Double Room,8.2 miles from downtown,N/A,$90
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Cozy Apartment at Dundas Square!,"Yonge - Dundas, Toronto (Yonge - Dundas)",Studio Apartment,0.2 miles from downtown,N/A,$181
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Shangri-La Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe King Room,0.3 miles from downtown,N/A,$453
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Breezy Lake And City Views - One Free Underground Parking,"Downtown Toronto, Toronto",Two-Bedroom Apartment,1.1 miles from downtown,N/A,$340
2025-10-01,booking.com,2,2025-10-10,2025-10-13,B Hotel,Toronto,Deluxe Suite,2.7 miles from downtown,N/A,$154
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Modern Private Room Private Bathroom with King Bed with TV and Optional Balcony 10 minutes to Rogers Stadium Midtown Downtown Toronto,"North York, Toronto",Triple Room with Private Bathroom,7.5 miles from downtown,N/A,$118
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Dragon Gate Inn,"Downtown Toronto, Toronto",Superior Studio (2 Adults),1.3 miles from downtown,N/A,$124
2025-10-01,booking.com,2,2025-10-10,2025-10-13,The Omni King Edward Hotel,"Old Town Toronto, Toronto (Old Town Toronto)",Deluxe Room - 1 Queen Bed,0.3 miles from downtown,N/A,$246
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Canadas Best Value Inn Toronto,"Etobicoke, Toronto",Business Queen Room - Non Smoking,9 miles from downtown,N/A,$93
2025-10-01,booking.com,2,2025-10-10,2025-10-13,"1BR Condo - City View, Near CN Tower & Rogers Center","Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment,0.6 miles from downtown,N/A,$250
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Yorkville Plaza Express Stay,"Bloor-Yorkville, Toronto (Bloor-Yorkville)",Superior Apartment with City View,1.4 miles from downtown,N/A,$238
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Sheraton Centre Toronto Hotel,"Downtown Toronto, Toronto (Queen West)","Guest room, 1 Queen",0.1 miles from downtown,N/A,$232
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Spectacular Large 3 Bedroom 3 Bath Condo Downtown Toronto Lakeview,"Downtown Toronto, Toronto",Three-Bedroom Apartment,1.2 miles from downtown,N/A,$295
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Best Western Plus Toronto North York Hotel & Suites,"North York, Toronto",Queen Room,10.3 miles from downtown,N/A,$138
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Perfect Location - Comfy Suite,"Downtown Toronto, Toronto",Two-Bedroom Apartment,1.2 miles from downtown,N/A,$182
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Huge 2BD 2BA with Sofa Bed and CN Tower VIew!,"Downtown Toronto, Toronto",Two-Bedroom Apartment with City View,0.7 miles from downtown,N/A,$308
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Downtown Queen and King St - Lower Suite,"Downtown Toronto, Toronto",One-Bedroom Apartment,1.4 miles from downtown,N/A,$130
2025-10-01,booking.com,2,2025-10-10,2025-10-13,"Hotel X Toronto, a Destination by Hyatt Hotel",Toronto,King Room with Lake View,2 miles from downtown,N/A,$276
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Modern Apartment Close To The Beach with Parking,Toronto,Two-Bedroom Apartment,3.6 miles from downtown,N/A,$247
2025-10-01,booking.com,2,2025-10-10,2025-10-13,SoHo Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe King Room,0.7 miles from downtown,N/A,$257
2025-10-01,booking.com,2,2025-10-10,2025-10-13,DT Apt great view whit garden,"Downtown Toronto, Toronto",One-Bedroom Apartment,1.3 miles from downtown,N/A,$181
